iter	Passed	Remaining
1172	51519	14362
1173	51563	14318
1174	51605	14273
1175	51649	14229
1176	51692	14185
1177	51734	14141
1178	51778	14097
1179	51821	14053
1180	51865	14009
1181	51908	13965
1182	51951	13921
1183	51993	13876
1184	52038	13833
1185	52081	13788
1186	52123	13744
1187	52167	13700
1188	52210	13656
1189	52254	13612
1190	52338	13579
1191	52398	13539
1192	52450	13497
1193	52495	13453
1194	52538	13409
1195	52583	13365
1196	52631	13322
1197	52674	13278
1198	52717	13234
1199	52762	13190
1200	52805	13146
1201	52848	13102
1202	52892	13058
1203	52936	13014
1204	52982	12970
1205	53025	12926
1206	53067	12882
1207	53112	12838
1208	53155	12794
1209	53199	12750
1210	53242	12706
1211	53285	12661
1212	53329	12617
1213	53372	12573
1214	53415	12529
1215	53459	12485
1216	53502	12441
1217	53544	12396
1218	53585	12352
1219	53627	12307
1220	53671	12264
1221	53714	12219
1222	53770	12178
1223	53813	12134
1224	53857	12090
1225	53899	12046
1226	53942	12001
1227	53988	11958
1228	54030	11914
1229	54074	11869
1230	54118	11826
1231	54159	11781
1232	54201	11737
1233	54245	11693
1234	54289	11649
1235	54331	11604
1236	54374	11560
1237	54417	11516
1238	54460	11472
1239	54512	11430
1240	54554	11385
1241	54597	11341
1242	54640	11297
1243	54684	11253
1244	54728	11209
1245	54770	11165
1246	54813	11121
1247	54856	11076
1248	54898	11032
1249	54942	10988
1250	54985	10944
1251	55030	10900
1252	55076	10856
1253	55120	10813
1254	55163	10768
1255	55207	10725
1256	55250	10680
1257	55292	10636
1258	55336	10592
1259	55378	10548
1260	55421	10504
1261	55466	10460
1262	55509	10416
1263	55553	10372
1264	55596	10328
1265	55636	10283
1266	55680	10239
1267	55723	10195
1268	55768	10151
1269	55812	10107
1270	55858	10064
1271	55902	10020
1272	55947	9976
1273	55991	9932
1274	56032	9888
1275	56078	9844
1276	56121	9800
1277	56165	9756
1278	56208	9712
1279	56252	9668
1280	56295	9624
1281	56335	9579
1282	56378	9535
1283	56422	9491
1284	56465	9447
1285	56510	9403
1286	56552	9359
1287	56594	9315
1288	56639	9271
1289	56683	9227
1290	56726	9183
1291	56766	9138
